"","AGEP","RACAIAN","RACASN","RACBLK","RACSOR","RACWHT","ESR_label","SCHL_label","WAGP","YOEP","CITWP","years_to_nat"
"575",72,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1973,1978,5
"576",69,"0","1","0","0","0","Not in labor force","12th grade - no diploma",0,1984,2004,20
"577",63,"0","1","0","0","0","Civilian employed, at work","No schooling completed",17800,1984,2004,20
"578",53,"0","1","0","0","0","Not in labor force","Doctorate degree",0,2000,2014,14
"579",51,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",7500,2000,2014,14
"580",70,"0","1","0","0","0","Not in labor force","Doctorate degree",0,1970,1983,13
"581",58,"0","0","0","1","0","Civilian employed, at work","Grade 8",2400,1979,2018,39
"582",56,"0","0","0","0","1","Not in labor force","Grade 9",0,1975,2002,27
"583",68,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",2e+05,1991,1996,5
"584",41,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",565000,1979,1981,2
"585",36,"0","0","0","0","1","Civilian employed, at work","Bachelor's degree",3e+05,2001,2009,8
"586",42,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",98000,2000,2010,10
"587",57,"0","0","0","0","1","Civilian employed, at work","GED or alternative credential",77000,1988,1999,11
"588",61,"0","0","0","0","1","Civilian employed, at work","Associate's degree",28100,1977,2003,26
"589",77,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1964,1984,20
"590",32,"0","0","0","0","1","Civilian employed, at work","Bachelor's degree",65000,2009,2016,7
"591",35,"0","1","0","0","0","Civilian employed, at work","Associate's degree",48000,1992,2005,13
"592",88,"0","0","0","0","1","Not in labor force","Grade 6",0,1958,1995,37
"593",49,"0","1","0","0","0","Civilian employed, at work","1 or more years of college credit, no degree",90000,1981,1987,6
"594",63,"0","0","0","0","1","Civilian employed, at work","GED or alternative credential",60000,1991,1997,6
"595",48,"0","0","0","0","1","Civilian employed, at work","Grade 2",1200,1991,2017,26
"596",83,"0","0","1","0","0","Not in labor force","No schooling completed",0,1998,2006,8
"597",41,"0","1","0","0","0","Civilian employed, at work","Professional degree beyond a bachelor's degree",565000,2004,2009,5
"598",55,"0","1","0","0","0","Civilian employed, at work","Master's degree",260000,1977,2004,27
"599",74,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1975,1984,9
"600",40,"0","0","0","0","1","Civilian employed, at work","Master's degree",565000,2003,2009,6
"601",49,"0","0","0","0","1","Civilian employed, at work","Regular high school diploma",18000,1988,1998,10
"602",56,"0","1","0","0","0","Not in labor force","Grade 10",0,1980,1989,9
"603",50,"0","0","0","0","1","Civilian employed, at work","Bachelor's degree",27000,2005,2010,5
"604",82,"0","0","0","0","1","Not in labor force","Professional degree beyond a bachelor's degree",0,1957,1975,18
"605",65,"0","0","0","1","0","Civilian employed, at work","Grade 2",62000,1976,2018,42
"606",49,"0","0","0","0","1","Civilian employed, at work","Grade 8",22600,1987,2008,21
"607",77,"0","0","0","1","0","Civilian employed, at work","Grade 6",0,1958,1968,10
"608",26,"0","0","0","1","0","Civilian employed, at work","Grade 9",25000,1995,2002,7
"609",34,"0","0","0","1","0","Not in labor force","Regular high school diploma",17600,1986,1998,12
"610",79,"0","1","0","0","0","Not in labor force","Associate's degree",0,1969,1978,9
"611",64,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1980,1985,5
"612",64,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",58000,1980,1985,5
"613",49,"0","0","0","0","1","Civilian employed, at work","Grade 8",30000,1985,2015,30
"614",52,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1998,2003,5
"615",51,"0","0","0","0","1","Civilian employed, at work","Master's degree",64000,1993,2000,7
"616",59,"0","0","0","0","1","Civilian employed, at work","Grade 3",73000,1976,1999,23
"617",62,"0","1","0","0","0","Civilian employed, at work","Some college, but less than 1 year",30000,1986,1997,11
"618",59,"0","1","0","0","0","Civilian employed, at work","Grade 10",40000,1994,1999,5
"619",59,"0","0","0","0","1","Not in labor force","Regular high school diploma",0,1995,2000,5
"620",52,"0","1","0","0","0","Civilian employed, at work","1 or more years of college credit, no degree",15000,2003,2008,5
"621",50,"0","1","1","0","0","Civilian employed, at work","1 or more years of college credit, no degree",0,2000,2006,6
"622",84,"0","1","0","0","0","Not in labor force","No schooling completed",0,1989,2000,11
"623",43,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",165000,1996,2005,9
"624",67,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1987,2003,16
"625",40,"0","1","0","0","0","Not in labor force","Regular high school diploma",0,2006,2009,3
"626",81,"0","0","0","0","1","Not in labor force","No schooling completed",0,1987,1992,5
"627",41,"0","0","0","0","1","Civilian employed, at work","Master's degree",72000,2001,2018,17
"628",52,"0","0","0","1","0","Not in labor force","Regular high school diploma",0,1989,2012,23
"629",39,"0","0","0","0","1","Civilian employed, at work","Bachelor's degree",20300,2007,2012,5
"630",63,"0","1","0","0","0","Not in labor force","Some college, but less than 1 year",0,1972,1974,2
"631",59,"0","1","0","0","0","Civilian employed, at work","1 or more years of college credit, no degree",45000,1982,1985,3
"632",72,"0","1","0","0","0","Not in labor force","Some college, but less than 1 year",0,1986,1994,8
"633",34,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",0,1994,2000,6
"634",73,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",1e+05,1973,1978,5
"635",78,"0","0","1","0","0","Not in labor force","Regular high school diploma",0,1957,1961,4
"636",67,"0","0","0","0","1","Civilian employed, at work","12th grade - no diploma",0,1972,1996,24
"637",64,"0","0","0","0","1","Civilian employed, at work","No schooling completed",24500,1988,1998,10
"638",84,"0","0","0","0","1","Not in labor force","Bachelor's degree",0,1957,1962,5
"639",62,"0","0","0","1","0","Civilian employed, at work","Bachelor's degree",39000,1962,1969,7
"640",52,"0","0","0","0","1","Civilian employed, at work","GED or alternative credential",95000,1993,2014,21
"641",73,"0","1","0","0","0","Not in labor force","Grade 7",0,2000,2005,5
"642",64,"0","0","0","0","1","Civilian employed, at work","Master's degree",250000,1993,2004,11
"643",64,"0","0","0","0","1","Not in labor force","GED or alternative credential",0,1971,1985,14
"644",60,"0","0","0","0","1","Civilian employed, at work","GED or alternative credential",25000,1982,1998,16
"645",65,"0","0","0","0","1","Not in labor force","Grade 10",0,1980,1999,19
"646",55,"0","0","0","1","1","Civilian employed, at work","1 or more years of college credit, no degree",15000,1975,1998,23
"647",51,"0","0","0","1","0","Civilian employed, at work","Grade 11",30000,1988,2002,14
"648",55,"0","0","0","0","1","Civilian employed, at work","1 or more years of college credit, no degree",14000,1980,1998,18
"649",36,"0","1","0","0","0","Civilian employed, at work","Regular high school diploma",51000,1998,2010,12
"650",47,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",175000,1973,1975,2
"651",68,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1980,2011,31
"652",79,"0","1","0","0","0","Not in labor force","No schooling completed",0,1979,1986,7
"653",54,"0","1","0","0","0","Civilian employed, at work","Professional degree beyond a bachelor's degree",45000,1979,1986,7
"654",80,"0","0","0","0","1","Not in labor force","No schooling completed",0,1979,2007,28
